epoch,train_loss,validation_loss,execution_time
1,0.055936471648831046,0.0607189238131821,141.2800612449646
2,0.0408714902531964,0.04888766732631068,145.58358430862427
3,0.03783748953032224,0.0366839377845095,133.64322471618652
4,0.036193377773371845,0.04829365500294166,164.7911479473114
5,0.03513292546673331,0.043216743505707415,157.15726590156555
6,0.03449997458438314,0.05145352176832606,143.54247617721558
7,0.03396054520009753,0.03706106228012361,145.980651140213
8,0.03358126826077849,0.034030730997753354,159.45776748657227
9,0.033215465278819835,0.041665092867698116,146.36473608016968
10,0.032995753626030654,0.03524279391384183,141.39359259605408
11,0.032754705829372614,0.04081833541627366,138.2451729774475
12,0.03261061137050545,0.03537592387614533,136.99557375907898
13,0.032479812140670805,0.04084617031512146,170.84873747825623
14,0.03236543867159131,0.034573135451871094,143.76359629631042
15,0.03222968136001835,0.043840439893381704,144.37955260276794
16,0.032152583886007634,0.038964329587274575,140.44598126411438
